Gene Name,Gene Id,P‑Value SKATO,P‑Value Burden,P‑Value SKAT,BETA Burden,Burden Set,Chrom : Position,Chrom,Position,Details
SP2,ENSG00000167182,0.000218820926292995,0.00333207202651487,0.000240051699982313,0.047046436383427,missense|LC,17047896188,17,47896188,
MB21D2,ENSG00000180611,0.000232390205584299,0.00174257960936119,0.000434639232077982,0.0622276095774009,missense|LC,3192798287,3,192798287,
UBLCP1,ENSG00000164332,0.000236616840522008,0.0114185911695052,0.000137421573570218,0.104937221217206,missense|LC,5159268823,5,159268823,
LYG1,ENSG00000144214,0.000238001331038684,0.12050624470476,0.000120242003881277,0.0419303682980194,missense|LC,2099284330,2,99284330,
FAHD1,ENSG00000180185,0.00024716857348317,0.00747027188694949,0.000159275682746762,0.0565262708147415,missense|LC,16001822275,16,1822275,
RHOH,ENSG00000168421,0.000311102627128412,0.00424831639773982,0.000238175398516116,0.102482206385848,missense|LC,4040243325,4,40243325,
PATL2,ENSG00000229474,0.000317481045463919,0.000663125211300297,0.000911345166639599,0.0489032595940742,missense|LC,15044663274,15,44663274,
STARD8,ENSG00000130052,0.000324196714810432,0.0115239883335687,0.000214551474655655,0.0208628382908076,missense|LC,23068647785,X,68647785,
SLC25A3,ENSG00000075415,0.000393547427985697,0.0142898940809852,0.000219629849423253,0.0688403221448301,missense|LC,12098590711,12,98590711,
MOCS3,ENSG00000124217,0.000434865038024812,0.000218978288026639,0.0139639540092125,0.0566562621301465,missense|LC,20050955155,20,50955155,
GNA12,ENSG00000146535,0.000441540833661436,0.00868124531441272,0.000388524775472465,0.067033364236166,missense|LC,7002731148,7,2731148,
EMX1,ENSG00000135638,0.000443234004199988,0.0554074681063166,0.000188323822919445,0.049513075231298,missense|LC,2072917737,2,72917737,
SDHAF1,ENSG00000205138,0.00044523690710041,0.00961229619168569,0.000268207955605226,0.110668176704536,missense|LC,19035995226,19,35995226,
POPDC2,ENSG00000121577,0.00048093189656595,0.0153319301531728,0.000311797201370534,0.0492561221947026,missense|LC,3119642443,3,119642443,
TRIM13,ENSG00000204977,0.000488364545329745,0.0148166545994441,0.000306228738836678,0.0604787935762955,missense|LC,13050011837,13,50011837,
ANKRD44,ENSG00000065413,0.000527634909155861,0.0805232513182884,0.000256361986187947,0.0607649904369108,missense|LC,2196986621,2,196986621,
PGLYRP2,ENSG00000161031,0.000552485429558658,0.000640073876043257,0.00206001187347482,0.0345791703091695,missense|LC,19015463950,19,15463950,
HAPLN4,ENSG00000187664,0.000558824954701498,0.00581391007187215,0.000531483439752511,0.054085916315017,missense|LC,19019249760,19,19249760,
NMB,ENSG00000197696,0.000561040430408499,0.0543676255370882,0.000280167164852463,0.0557947345107136,missense|LC,15084652693,15,84652693,
FETUB,ENSG00000090512,0.000569628795693444,0.00772798460546331,0.000421565506542487,0.0425463783408475,missense|LC,3186640414,3,186640414,
SPDYE1,ENSG00000136206,0.000573427639881996,0.0708978853105756,0.00028019430129278,0.0304592775124336,missense|LC,7044000891,7,44000891,
DDX47,ENSG00000213782,0.000585171059754641,0.00170331852121053,0.00142350870208463,0.048003111123362,missense|LC,12012813289,12,12813289,
CEP120,ENSG00000168944,0.000625389568362666,0.423180728830325,0.000303174152783914,0.00628247985460629,missense|LC,5123346471,5,123346471,
GIP,ENSG00000159224,0.000628268388300213,0.00562998774826573,0.000540238140480431,0.0831700206161926,missense|LC,17048958652,17,48958652,
LRRC3C,ENSG00000204913,0.00062845983561266,0.144235094962119,0.000454479283926279,0.0196286184558437,missense|LC,17039939282,17,39939282,
PDHA1,ENSG00000131828,0.000629179493273568,0.00438686535394051,0.00049372467926001,0.07111565113098,missense|LC,23019343994,X,19343994,
FAM20A,ENSG00000108950,0.000651017806585386,0.00255775015442683,0.00107768513114381,0.0421774681161368,missense|LC,17068530116,17,68530116,
MCL1,ENSG00000143384,0.000655308992472348,0.00483091434666794,0.000668347821955462,0.046978941269477,missense|LC,1150577254,1,150577254,
RFC5,ENSG00000111445,0.00067814724648918,0.0190779217667177,0.000404577503642312,0.0646079348539338,missense|LC,12118016764,12,118016764,
RNF217,ENSG00000146373,0.000682042340723998,0.0374211712944638,0.000325524774327457,0.0470203852066451,missense|LC,6124962536,6,124962536,
CLDN8,ENSG00000156284,0.000698113525285815,0.00219603165345927,0.000645528539711115,0.0495448830120744,missense|LC,21030215183,21,30215183,
RBFOX1,ENSG00000078328,0.000720369886936023,0.0148637916301702,0.00043593334459413,0.0989436927684631,missense|LC,16006019012,16,6019012,
LIPE,ENSG00000079435,0.000743563256356827,0.0126952372065998,0.000450890434494311,0.0150778384328312,missense|LC,19042401755,19,42401755,
ADCY7,ENSG00000121281,0.000751931890055624,0.00161800458483896,0.00116346058892058,0.0241701812294535,missense|LC,16050288068,16,50288068,
GDPD1,ENSG00000153982,0.000755075183411225,0.00971664100779712,0.000534354486375843,0.0875509391572044,missense|LC,17059220515,17,59220515,
UBE2L5,ENSG00000236444,0.000759149787007862,0.0154453910684662,0.000504112112311272,0.0803303946715557,missense|LC,13030427976,13,30427976,
ZSCAN29,ENSG00000140265,0.000761552459229264,0.00233086096790258,0.00103180536343439,0.0282101342896004,missense|LC,15043360953,15,43360953,
ASB13,ENSG00000196372,0.000818285362848004,0.00694541782767655,0.00078855745033235,0.0527417834989461,missense|LC,10005640595,10,5640595,
MTRNR2L10,ENSG00000256045,0.000832513875509644,0.0100162441335159,0.000704793941820991,0.103853587573215,missense|LC,23055181876,X,55181876,
BNIP3L,ENSG00000104765,0.00083676664439114,0.0059422903582208,0.00077093034968112,0.0970182096983612,missense|LC,8026381053,8,26381053,
ARHGAP42,ENSG00000165895,0.000852171930395662,0.0110026722203548,0.000765527690985701,0.0487959384365865,missense|LC,11100687579,11,100687579,
SRPX,ENSG00000101955,0.000885883847175362,0.137045117109369,0.000395225007977729,0.0184459520914976,missense|LC,23038149651,X,38149651,
POLR3K,ENSG00000161980,0.000891879862328748,0.0154020203127293,0.000513632403380315,0.0991201917590662,missense|LC,16000047302,16,47302,
ZNF134,ENSG00000213762,0.000897125645723085,0.110093223680789,0.000414515740958299,0.0179581601403513,missense|LC,19057619361,19,57619361,
DEFB4A,ENSG00000171711,0.000898013239264861,0.00156741247609449,0.000847060998762972,0.211687356000499,missense|LC,8007894610,8,7894610,
FCER1A,ENSG00000179639,0.000906275508366194,0.00441038858064546,0.000885489452720156,0.0619946171205642,missense|LC,1159302337,1,159302337,
CPNE3,ENSG00000085719,0.000920891783594002,0.00077097646662494,0.00390027506378365,0.0363550710724417,missense|LC,8086514176,8,86514176,
PNLIP,ENSG00000175535,0.000998175367846521,0.00804842491245339,0.00105812503104541,0.0619431955701919,missense|LC,10116546031,10,116546031,
BATF3,ENSG00000123685,0.00102166807119497,0.0384550148525192,0.000535772549155933,0.079047240376595,missense|LC,1212686640,1,212686640,
C3orf22,ENSG00000180697,0.00106773443294017,0.234181008289679,0.000604640668898204,0.0468797718826006,missense|LC,3126549584,3,126549584,
SKP2,ENSG00000145604,0.00109627865809536,0.00431584612133906,0.00162801344351871,0.0761129727793134,missense|LC,5036152176,5,36152176,
ZNF451,ENSG00000112200,0.00110058680186575,0.000524501715622905,0.219286441412682,0.0340631406859165,missense|LC,6057090097,6,57090097,
ESM1,ENSG00000164283,0.00113459273504202,0.000859706330498811,0.00315283611668238,0.0711403174392283,missense|LC,5054979294,5,54979294,
HSH2D,ENSG00000196684,0.00113943808979111,0.00068095390803069,0.0120262261852373,0.0395144968826702,missense|LC,19016129476,19,16129476,
FGF14,ENSG00000102466,0.00115535936301969,0.00378139604086103,0.00104885219057949,0.130535647028363,missense|LC,13101706669,13,101706669,
APOF,ENSG00000175336,0.00118041992931328,0.0391384406599684,0.000620779189773213,0.0476173873332258,missense|LC,12056355569,12,56355569,
PABPC5,ENSG00000174740,0.00118776039362545,0.0138756137739892,0.000770810480089645,0.0595597007295566,missense|LC,23091435528,X,91435528,
CPQ,ENSG00000104324,0.00120730188250984,0.000798471050351468,0.013971801072322,0.0425347746673868,missense|LC,8096784819,8,96784819,
CDR2L,ENSG00000109089,0.00121273364139629,0.00412057993127801,0.000814277164741917,0.17967124401281,missense|LC,17074987997,17,74987997,
CNOT1,ENSG00000125107,0.00121426354735477,0.0522132710611851,0.00058130725757588,0.0254099444540654,missense|LC,16058515431,16,58515431,
ZNF791,ENSG00000173875,0.00122510834602618,0.191918428924445,0.000522302925222151,0.0293559005239951,missense|LC,19012609084,19,12609084,
PLEKHN1,ENSG00000187583,0.00124932114909793,0.000921163278592152,0.0084314548328388,0.0198482075267736,missense|LC,1000961483,1,961483,
DYNC1I1,ENSG00000158560,0.00126004840866867,0.00543662896851482,0.00145867490888341,0.066094578935046,missense|LC,7095804290,7,95804290,
RANGRF,ENSG00000108961,0.00127126851024162,0.000969896775922519,0.00959784949337417,0.0654233090263446,missense|LC,17008288701,17,8288701,
HLA-G,ENSG00000204632,0.0012759664306965,0.00761202082210621,0.00101023836412628,0.0520786830248536,missense|LC,6029827830,6,29827830,
TRIM39-RPP21,ENSG00000248167,0.00128335691369019,0.00448527767734952,0.00189503097791421,0.0571799554309026,missense|LC,6030329208,6,30329208,
DBF4B,ENSG00000161692,0.00131013397585233,0.00132753653481599,0.00271931045497431,0.0380902028872084,missense|LC,17044708709,17,44708709,
ATF3,ENSG00000162772,0.00140818820778976,0.320680771184398,0.000711485919635324,0.0371092028191827,missense|LC,1212614876,1,212614876,
TOP1,ENSG00000198900,0.00143875132388627,0.0358497259525539,0.000800942409387995,0.0645021661946752,missense|LC,20041028994,20,41028994,
CA12,ENSG00000074410,0.00144366557674624,0.15216654597267,0.000769030760449096,0.0297907861163522,missense|LC,15063326252,15,63326252,
CPA2,ENSG00000158516,0.00146932321951743,0.00152838934135158,0.00709773884772869,0.0540716153284412,missense|LC,7130266817,7,130266817,
CALML3,ENSG00000178363,0.00156889027678153,0.0282812839142951,0.000866842400410239,0.0853143100892601,missense|LC,10005525039,10,5525039,
TBC1D3B,ENSG00000274808,0.00157454904532217,0.0520214219411573,0.00121205830403359,0.0219053724153416,missense|LC,17036168990,17,36168990,
INSL6,ENSG00000120210,0.00157724147166616,0.000909295375722374,0.0160430818344852,0.0364105482914956,missense|LC,9005163889,9,5163889,
SAP25,ENSG00000205307,0.00163472373952323,0.0206727979547374,0.00109349783935564,0.0497631486405435,missense|LC,7100572206,7,100572206,
NHLRC4,ENSG00000257108,0.00163704501438244,0.00244561353457584,0.00159693248953796,0.0680663363699049,missense|LC,16000563164,16,563164,
ZCCHC12,ENSG00000174460,0.00164486325891611,0.0200034884350164,0.000993146204932294,0.0400822604639112,missense|LC,23118825163,X,118825163,
ADAM11,ENSG00000073670,0.00166256023175904,0.00481358701877954,0.0013442223250324,0.0344591171574329,missense|LC,17044759131,17,44759131,
ATP1B1,ENSG00000143153,0.00168834612855817,0.0217696008429813,0.000976718830427159,0.0911591876006608,missense|LC,1169106764,1,169106764,
PRAMEF10,ENSG00000187545,0.001690687521269,0.00752645630201432,0.0012582466589075,0.0109564206877123,missense|LC,1012892856,1,12892856,
RPS12,ENSG00000112306,0.00170786586042959,0.00745136439347616,0.00157351089914104,0.0591407920041265,missense|LC,6132814686,6,132814686,
ESF1,ENSG00000089048,0.00171378797331956,0.0306548944860354,0.00122121443855427,0.0238428517284479,missense|LC,20013714814,20,13714814,
SCAF8,ENSG00000213079,0.00172455361022728,0.0151008280886479,0.00112640041146916,0.0204465741867638,missense|LC,6154733241,6,154733241,
INSIG2,ENSG00000125629,0.0017594096128396,0.0187341595593224,0.00101066530523564,0.0955639995600978,missense|LC,2118096486,2,118096486,
DSC3,ENSG00000134762,0.00178064186214744,0.0107310574021782,0.00144371173510471,0.0868444119484193,missense|LC,18030994104,18,30994104,
ZNF426,ENSG00000130818,0.00186709037697075,0.0339638423138229,0.00108246412157476,0.0336830775877591,missense|LC,19009528298,19,9528298,
CEP250,ENSG00000126001,0.00191203891278791,0.00130214755196545,0.0672693208335081,0.0161109500123083,missense|LC,20035462304,20,35462304,
SMIM39,ENSG00000284479,0.00198182959019633,0.00236987747654882,0.00290532826436363,0.14050944255455,missense|LC,2131034894,2,131034894,
GRSF1,ENSG00000132463,0.00204060278666396,0.004283421379359,0.00228710505978458,0.0451608160575233,missense|LC,4070824317,4,70824317,
MAPK1IP1L,ENSG00000168175,0.00211806791051439,0.00246982379699212,0.004286527918542,0.0737319900113209,missense|LC,14055061643,14,55061643,
TLK2,ENSG00000146872,0.00214058567772801,0.0682890222103841,0.00100612212953055,0.0647487304746453,missense|LC,17062481053,17,62481053,
MED26,ENSG00000105085,0.00214797538591138,0.185829718497808,0.00126479426796844,0.0160167522614645,missense|LC,19016571429,19,16571429,
MFSD4A,ENSG00000174514,0.00215554270562213,0.0270033569289775,0.00147410640839807,0.0528282391261848,missense|LC,1205568992,1,205568992,
LRRC46,ENSG00000141294,0.00216254632608193,0.00261911027573536,0.00352843198156139,0.0536605273656326,missense|LC,17047826672,17,47826672,
C2orf72,ENSG00000204128,0.00217236472288884,0.00107925355740868,0.0202378546583049,0.0303904361021258,missense|LC,2231037444,2,231037444,
CXorf56,ENSG00000018610,0.0021927718588638,0.0768054430879745,0.00133331814744886,0.0795788180520664,missense|LC,23119539721,X,119539721,
OR51V1,ENSG00000176742,0.00221667175793738,0.0316122590696757,0.0011625844107952,0.0269379160975018,missense|LC,11005199674,11,5199674,
RGS7BP,ENSG00000186479,0.00223488704463803,0.0459429504619431,0.001204670428398,0.0743662550740119,missense|LC,5064506545,5,64506545,
KLRG2,ENSG00000188883,0.00228336269090557,0.00143014892637217,0.0223089989449944,0.0482439229384517,missense|LC,7139453497,7,139453497,
ANKRD23,ENSG00000163126,0.00234598335636915,0.00549721119849633,0.00192839669516864,0.029920129213951,missense|LC,2096832915,2,96832915,
PAFAH1B2,ENSG00000168092,0.00234954830180079,0.0140246680698966,0.00141930696961345,0.0807652111596401,missense|LC,11117152423,11,117152423,
LIPT2,ENSG00000175536,0.00235476056794659,0.00213501394077087,0.00620242431001117,0.0474435447910425,missense|LC,11074492079,11,74492079,
VNN1,ENSG00000112299,0.00236455464920082,0.00113356476626358,0.0212936469048943,0.0314040722606151,missense|LC,6132683062,6,132683062,
PIGR,ENSG00000162896,0.0024204109435354,0.00776427792630896,0.00208014283521463,0.025441109155895,missense|LC,1206930248,1,206930248,
HNRNPA2B1,ENSG00000122566,0.00247780211294768,0.00721041238347686,0.00209644173719492,0.0937533903036779,missense|LC,7026184927,7,26184927,
RNF112,ENSG00000128482,0.00257981858710821,0.00787348162168011,0.00413808867185272,0.0404844011786693,missense|LC,17019411329,17,19411329,
MRPS36,ENSG00000134056,0.00263205755320328,0.0135037255969421,0.00187337640222629,0.103495380781583,missense|LC,5069217692,5,69217692,
LOX,ENSG00000113083,0.0026825251123076,0.0150960884883615,0.00205704102955462,0.0490684923590022,missense|LC,5122066688,5,122066688,
TARM1,ENSG00000248385,0.00276696490651696,0.00643821512143883,0.00231253981045931,0.0330119350333928,missense|LC,19054069946,19,54069946,
POU4F1,ENSG00000152192,0.00280170411507874,0.0178768517343013,0.00175974873168294,0.0234650999527487,missense|LC,13078601263,13,78601263,
AAAS,ENSG00000094914,0.00282754345693814,0.14791499966566,0.00129723697847983,0.0231653884925905,missense|LC,12053302947,12,53302947,
SMU1,ENSG00000122692,0.00284016306435453,0.0835580631991377,0.00138364955773584,0.0813721329174536,missense|LC,9033036952,9,33036952,
SUOX,ENSG00000139531,0.00289966350512527,0.0119446648427682,0.00152003460843209,0.0246398833007454,missense|LC,12056001841,12,56001841,
FGF12,ENSG00000114279,0.00290358798667201,0.0139188541333843,0.00209175425351904,0.10238466307605,missense|LC,3192143994,3,192143994,
SLC43A3,ENSG00000134802,0.0029144772341666,0.0164818651048886,0.0022065955260564,0.0414918340128562,missense|LC,11057407770,11,57407770,
MOG,ENSG00000204655,0.00293681290596004,0.00282282968060388,0.00748113755010493,0.080775301802126,missense|LC,6029657171,6,29657171,
MVB12B,ENSG00000196814,0.00295664595783918,0.273867549153938,0.0017573597858539,0.031948215438899,missense|LC,9126327175,9,126327175,
HYLS1,ENSG00000198331,0.00300654810916945,0.0210258057706492,0.0021899166715722,0.0491531388136191,missense|LC,11125893711,11,125893711,
LYPLA2,ENSG00000011009,0.00301475611846258,0.0255191524941022,0.00173566925727497,0.0883311966300972,missense|LC,1023786314,1,23786314,
SPRY1,ENSG00000164056,0.00302264563928967,0.0155157969904341,0.00202297229529569,0.0420985944537161,missense|LC,4123401475,4,123401475,
TTPAL,ENSG00000124120,0.00306304334811069,0.0247691039439202,0.00185225753493001,0.0539187466919083,missense|LC,20044479924,20,44479924,
COP1,ENSG00000143207,0.00306312972386957,0.0148864431857021,0.00181992239410311,0.13802145668564,missense|LC,1175945114,1,175945114,
GMFB,ENSG00000197045,0.00310539667315046,0.0276504244143918,0.00169956777027458,0.116963321584282,missense|LC,14054478093,14,54478093,
KCNIP3,ENSG00000115041,0.00320478663921409,0.00233297775071029,0.0652624432638879,0.0423548475284681,missense|LC,2095297355,2,95297355,
PRPF38B,ENSG00000134186,0.00320626950571146,0.944421933980997,0.00183379414356122,0.000571695788813757,missense|LC,1108692479,1,108692479,
OR8I2,ENSG00000172154,0.00321156124500643,0.00608999418507095,0.00230492112810288,0.0293009013499402,missense|LC,11056093277,11,56093277,
CDK5,ENSG00000164885,0.0032241204267669,0.0446764456213012,0.00171152717959866,0.0749032562784406,missense|LC,7151048816,7,151048816,
ETF1,ENSG00000120705,0.0032246583772817,0.200546561204845,0.00175497540076264,0.0886182182845288,missense|LC,5138508204,5,138508204,
SLC35F3,ENSG00000183780,0.0032278886088557,0.0304408652075656,0.00172484144545448,0.113797670713478,missense|LC,1233904981,1,233904981,
FDX2,ENSG00000267673,0.00323058052526282,0.0517611040888958,0.00159996283749109,0.0715331075170852,missense|LC,19010305046,19,10305046,
LCMT1,ENSG00000205629,0.00325529039671357,0.00536485766337547,0.0042669599641143,0.0561086256355931,missense|LC,16025111845,16,25111845,
GPSM2,ENSG00000121957,0.00326349695839423,0.00865770983746783,0.00532987987074263,0.047286125924103,missense|LC,1108885520,1,108885520,
XPO1,ENSG00000082898,0.00327924309596384,0.277319415967942,0.00189595523876052,0.0313892134567631,missense|LC,2061478719,2,61478719,
MAP3K13,ENSG00000073803,0.00330801463649921,0.00573587364680095,0.00307309629650576,0.0235675279561191,missense|LC,3185363007,3,185363007,
FXYD4,ENSG00000150201,0.00335639945175936,0.101451323553103,0.00228415424751616,0.0551785083510767,missense|LC,10043373716,10,43373716,
ZNF701,ENSG00000167562,0.00336289799789902,0.650459405009456,0.0016094834936633,0.00441616372389635,missense|LC,19052572312,19,52572312,
PPP6R1,ENSG00000105063,0.00336443271205134,0.0015550242650868,0.143222429216931,-0.0197812927318234,missense|LC,19055227059,19,55227059,
TEDDM1,ENSG00000203730,0.00353310323308065,0.0113227741037378,0.00307180932904427,0.0350590398484149,missense|LC,1182399618,1,182399618,
PLA2G2C,ENSG00000187980,0.00354899524192753,0.022902926205889,0.00212088942226552,0.0904046330732044,missense|LC,1020163978,1,20163978,
SLIT1,ENSG00000187122,0.00354958042702325,0.00188490567018862,0.0993526417849326,0.0313287569224148,missense|LC,10097001057,10,97001057,
EMC3,ENSG00000125037,0.00355426312216345,0.0524606309067559,0.0020340099949484,0.0698585359210927,missense|LC,3009963922,3,9963922,
CABP4,ENSG00000175544,0.00355495920156457,0.142361996772891,0.00167332463004932,0.0236145855533215,missense|LC,11067451252,11,67451252,
BAG2,ENSG00000112208,0.00359597054858329,0.0168561504678099,0.00258662046764246,0.0783904942093692,missense|LC,6057168386,6,57168386,
AC078815.1,ENSG00000288591,0.00361596885783355,0.021600914790628,0.00222639151239146,0.0218416492137843,missense|LC,12064756695,12,64756695,
KDM2A,ENSG00000173120,0.0036580002432145,0.0696247786257282,0.0018729510135167,0.033151322373368,missense|LC,11067117721,11,67117721,
DCTN5,ENSG00000166847,0.00366925237640192,0.0178457594470323,0.00240067591244897,0.0966522742791091,missense|LC,16023637815,16,23637815,
NPFFR2,ENSG00000056291,0.00373992413203084,0.0484257208817955,0.00218748218302856,0.0324919915155077,missense|LC,4072031808,4,72031808,
AL353579.1,ENSG00000286105,0.00380294323132058,0.012408129965325,0.00332412454030884,0.103417736633483,missense|LC,6037212868,6,37212868,
TBC1D30,ENSG00000111490,0.00385008445322932,0.0294275943138035,0.00229709318628302,0.0204791983319985,missense|LC,12064824748,12,64824748,
XG,ENSG00000124343,0.00388169152931928,0.016149821331767,0.0026236510510893,0.0579599802282116,missense|LC,23002752122,X,2752122,
SYNDIG1L,ENSG00000183379,0.0038925455596962,0.0330844750523429,0.00233526113617899,0.0506612585568883,missense|LC,14074407411,14,74407411,
KARS1,ENSG00000065427,0.00394748800461864,0.00204210661057347,0.0532728382303007,0.0307251604676432,missense|LC,16075627888,16,75627888,
PLAAT1,ENSG00000127252,0.00399338369058932,0.0424859442884955,0.00237742625608561,0.0426427203025106,missense|LC,3193241135,3,193241135,
SEC14L5,ENSG00000103184,0.00403676368934069,0.00376418949248081,0.00806935934217368,0.0469839954018568,missense|LC,16004959273,16,4959273,
RPE65,ENSG00000116745,0.00406649685704552,0.0366419382328481,0.00254248070174468,0.0347667363492313,missense|LC,1068429685,1,68429685,
NFKBID,ENSG00000167604,0.00409608473063461,0.246273525213226,0.00214373876320884,0.0346120627182208,missense|LC,19035888513,19,35888513,
TMEM106C,ENSG00000134291,0.00410247109587236,0.00255862985722088,0.0265145370193873,0.0623360584724499,missense|LC,12047964142,12,47964142,
DCK,ENSG00000156136,0.00410646804554082,0.00874520634441478,0.00357912075098366,0.111371798880364,missense|LC,4070993788,4,70993788,
SPI1,ENSG00000066336,0.00413523140479821,0.00635307226373949,0.00487472840848402,0.0717236695212872,missense|LC,11047349925,11,47349925,
AC126283.2,ENSG00000285330,0.00417434689299434,0.00721074764587337,0.00446641195285558,0.0239907892843345,missense|LC,4109714362,4,109714362,
GPATCH11,ENSG00000152133,0.00418307724291789,0.0232698531680414,0.00271157666242072,0.0447222153074166,missense|LC,2037083199,2,37083199,
LPAR3,ENSG00000171517,0.0042078338261764,0.107567124259904,0.00226514195341543,0.0341008101937089,missense|LC,1084813801,1,84813801,
COMMD6,ENSG00000188243,0.00422059679020237,0.0706537032646197,0.00218838775077146,0.0640329611346842,missense|LC,13075526545,13,75526545,
STAC,ENSG00000144681,0.00423306396988576,0.0101112759927915,0.0041600349665577,0.0425370477942601,missense|LC,3036380586,3,36380586,
NUDT22,ENSG00000149761,0.00424654846645967,0.0105180233339797,0.00474819852376163,0.0592786315724482,missense|LC,11064222932,11,64222932,
SSR1,ENSG00000124783,0.00425230192664439,0.0361924929551058,0.0025053472518346,0.0649625318097563,missense|LC,6007289791,6,7289791,
TTC27,ENSG00000018699,0.00430237329024252,0.035748367834683,0.00257811811504294,0.0222235194708207,missense|LC,2032628216,2,32628216,
FAM207A,ENSG00000160256,0.00430782785022155,0.00251600459623713,0.0766332730326484,0.0401436068557751,missense|LC,21044939944,21,44939944,
DSPP,ENSG00000152591,0.00434881221017713,0.315864740464163,0.00223841338839215,0.00461656468556371,missense|LC,4087610855,4,87610855,
ANKRD42,ENSG00000137494,0.00439332631467226,0.00228039040093553,0.027136511261685,0.0294764625838067,missense|LC,11083194606,11,83194606,
KLHL9,ENSG00000198642,0.00441311656280052,0.0029584355411123,0.0143567737362991,0.0453906478457527,missense|LC,9021332868,9,21332868,
DEDD2,ENSG00000160570,0.00446221047984319,0.00370806759530973,0.00990347617808496,0.0494573943358903,missense|LC,19042199307,19,42199307,
ZNF559,ENSG00000188321,0.00447679258812117,0.101948850904807,0.00255253200781291,0.0181549058260783,missense|LC,19009324076,19,9324076,
WASHC3,ENSG00000120860,0.00449368324936739,0.029690500651083,0.00291401271520486,0.0519958964058692,missense|LC,12102013114,12,102013114,
GORASP2,ENSG00000115806,0.00454572944581788,0.0470429402357457,0.00262825307538661,0.0511627832385936,missense|LC,2170929262,2,170929262,
FAM240A,ENSG00000283473,0.00457887292069092,0.0329053139597311,0.0024681229447181,0.024994355953982,missense|LC,3046612628,3,46612628,
CMYA5,ENSG00000164309,0.00460302420101133,0.00991359762665933,0.0068258421406312,0.00942753447815325,missense|LC,5079685165,5,79685165,
INPP5B,ENSG00000204084,0.00469382382242411,0.12560087459579,0.00221076085405891,0.023344304380477,missense|LC,1037857163,1,37857163,
PSMB10,ENSG00000205220,0.00469958341151877,0.0106789911578788,0.00358095722652241,0.0504313757282199,missense|LC,16067929839,16,67929839,
ATL1,ENSG00000198513,0.00477271953419045,0.0399857850798971,0.00286430124434189,0.0539928082813315,missense|LC,14050560164,14,50560164,
YAF2,ENSG00000015153,0.00482838265771235,0.0325334216542872,0.00267980471159457,0.0823222813097284,missense|LC,12042160542,12,42160542,
NFRKB,ENSG00000170322,0.0050194168325115,0.0467371423374163,0.00281374710019988,0.0184963314630859,missense|LC,11129864601,11,129864601,
CGB7,ENSG00000196337,0.00502687488463693,0.0488895359968465,0.00281670988081451,0.0583451492037286,missense|LC,19049050211,19,49050211,
TRUB1,ENSG00000165832,0.00503500939379131,0.209640903737944,0.00246598135379428,0.0320048019500447,missense|LC,10114938149,10,114938149,
CNTNAP1,ENSG00000108797,0.00504993349463212,0.00491578287363326,0.0138946544901011,0.0295242357141761,missense|LC,17042679506,17,42679506,
CNOT9,ENSG00000144580,0.00509779208278205,0.0632793455560895,0.00254235940321945,0.0905291640870197,missense|LC,2218568853,2,218568853,
